Date,Open,High,Low,Close,Adj Close,Volume
23-10-2017,39.2225,39.422501,38.875,39.0425,37.053894,87937200
24-10-2017,39.072498,39.355,39.049999,39.275002,37.274544,71028800
25-10-2017,39.227501,39.387501,38.817501,39.102501,37.110825,84828400
26-10-2017,39.307499,39.4575,39.195,39.352501,37.348083,68002000
27-10-2017,39.822498,40.900002,39.674999,40.762501,38.686275,177816800
30-10-2017,40.9725,42.017502,40.93,41.68,39.557045,178803200
31-10-2017,41.974998,42.412498,41.735001,42.259998,40.107498,144187200
01-11-2017,42.467499,42.485001,41.4025,41.7225,39.597374,134551200
02-11-2017,41.650002,42.125,41.32,42.0275,39.886848,165573600
03-11-2017,43.5,43.564999,42.779999,43.125,40.928452,237594400
06-11-2017,43.092499,43.747501,42.93,43.5625,41.343655,140105200
07-11-2017,43.477501,43.8125,43.400002,43.702499,41.47654,97446000
08-11-2017,43.665001,44.060001,43.5825,44.060001,41.815819,97638000
09-11-2017,43.7775,44.025002,43.285,43.970001,41.7304,117930400
10-11-2017,43.7775,43.845001,43.567501,43.6675,41.592293,100582000
13-11-2017,43.375,43.625,43.349998,43.4925,41.42561,67928400
14-11-2017,43.259998,43.369999,42.794998,42.834999,40.799362,99130000
15-11-2017,42.4925,42.580002,42.095001,42.27,40.261211,116632400
16-11-2017,42.794998,42.967499,42.575001,42.775002,40.742203,94550000
17-11-2017,42.759998,42.8475,42.41,42.537498,40.515995,87598000
20-11-2017,42.572498,42.639999,42.389999,42.494999,40.47551,65049600
21-11-2017,42.695,43.424999,42.695,43.285,41.22797,100525200
22-11-2017,43.34,43.75,43.262501,43.740002,41.661343,102355600
24-11-2017,43.775002,43.875,43.662498,43.7425,41.663723,56106800
27-11-2017,43.762501,43.77,43.334999,43.522499,41.454185,82867200
28-11-2017,43.575001,43.717499,42.965,43.267502,41.211315,105715200
29-11-2017,43.157501,43.23,41.790001,42.369999,40.356449,166665600
30-11-2017,42.607498,43.035,42.110001,42.962502,40.920792,166108800
01-12-2017,42.487499,42.9175,42.125,42.762501,40.730312,159037200
04-12-2017,43.119999,43.154999,42.407501,42.450001,40.432652,130169600
05-12-2017,42.264999,42.880001,42.099998,42.41,40.394562,109400800
06-12-2017,41.875,42.549999,41.615002,42.252499,40.244537,114240000
07-12-2017,42.2575,42.610001,42.227501,42.330002,40.318356,102693200
08-12-2017,42.622501,42.75,42.205002,42.342499,40.330254,93420800
11-12-2017,42.299999,43.2225,42.197498,43.1675,41.116066,141095200
12-12-2017,43.037498,43.0975,42.865002,42.924999,40.885078,77636800
13-12-2017,43.125,43.384998,43,43.067501,41.020809,95273600
14-12-2017,43.099998,43.282501,42.912498,43.055,41.008907,81906000
15-12-2017,43.407501,43.5425,43.115002,43.4925,41.42561,160677200
18-12-2017,43.720001,44.299999,43.715,44.105,42.008999,117684400
19-12-2017,43.7575,43.8475,43.522499,43.634998,41.56134,109745600
20-12-2017,43.717499,43.855,43.3125,43.587502,41.516102,93902400
21-12-2017,43.5425,44.005001,43.525002,43.752499,41.67326,83799600
22-12-2017,43.669998,43.855,43.625,43.752499,41.67326,65397600
26-12-2017,42.700001,42.8675,42.419998,42.642502,40.616001,132742000
27-12-2017,42.525002,42.695,42.427502,42.650002,40.623154,85992800
28-12-2017,42.75,42.962502,42.619999,42.77,40.737442,65920800
29-12-2017,42.630001,42.647499,42.305,42.307499,40.296925,103999600
02-01-2018,42.540001,43.075001,42.314999,43.064999,41.018421,102223600
03-01-2018,43.1325,43.637501,42.990002,43.057499,41.01128,118071600
04-01-2018,43.134998,43.3675,43.02,43.2575,41.201782,89738400
05-01-2018,43.360001,43.842499,43.262501,43.75,41.670868,94640000
08-01-2018,43.587502,43.9025,43.482498,43.587502,41.516102,82271200
09-01-2018,43.637501,43.764999,43.352501,43.5825,41.511341,86336000
10-01-2018,43.290001,43.575001,43.25,43.572498,41.501808,95839600
11-01-2018,43.647499,43.872501,43.622501,43.82,41.737553,74670800
